,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCF_001541255.1,GCF_001541255.1,ncbi,HCH-1 sp001541255,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,HCH-1,sp001541255,,
GCA_013824615.1,GCA_013824615.1,ncbi,PALSA-1316 sp013824615,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,PALSA-1316,sp013824615,,
GCA_002451055.1,GCA_002451055.1,ncbi,Nitrospira_F sp002451055,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002451055,,
GCA_005799365.1,GCA_005799365.1,ncbi,SYGV01 sp005799365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SYGV01,sp005799365,,
GCA_012032965.1,GCA_012032965.1,ncbi,Nitrospira_F sp012032965,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp012032965,,
GCA_002011745.1,GCA_002011745.1,ncbi,JdFR-85 sp002011745,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,JdFR-85,sp002011745,,
GCA_013696305.1,GCA_013696305.1,ncbi,Nitrospira_A sp013696305,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp013696305,,
GCA_002898135.1,GCA_002898135.1,ncbi,BMS3Bbin07 sp002898135,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Bbin07,sp002898135,,
GCA_902500805.1,GCA_902500805.1,ncbi,Nitrospira_F sp902500805,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500805,,
GCA_002328665.1,GCA_002328665.1,ncbi,UBA2194 sp002328665,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,UBA2194,sp002328665,,
GCA_013151495.1,GCA_013151495.1,ncbi,JAADIE01 sp013151495,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,JAADIE01,sp013151495,,
GCA_002839535.1,GCA_002839535.1,ncbi,GW-Nitrospira-1 sp002839535,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,GW-Nitrospira-1,sp002839535,,
GCA_002011815.1,GCA_002011815.1,ncbi,JdFR-86 sp002011815,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-86,JdFR-86,sp002011815,,
GCA_005239465.1,GCA_005239465.1,ncbi,Nitrospira_F sp005239465,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005239465,,
GCA_012026685.1,GCA_012026685.1,ncbi,UBA6898 sp012026685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,UBA6898,sp012026685,,
GCA_013388555.1,GCA_013388555.1,ncbi,Palsa-1315 sp013388555,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013388555,,
GCA_005116885.1,GCA_005116885.1,ncbi,Palsa-1315 sp005116885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116885,,
GCA_003354025.1,GCA_003354025.1,ncbi,Glo-13 sp003354025,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,Glo-13,sp003354025,,
GCA_005116895.1,GCA_005116895.1,ncbi,Nitrospira_F sp005116895,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116895,,
GCA_011051565.1,GCA_011051565.1,ncbi,BMS3Bbin07 sp011051565,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Bbin07,sp011051565,,
GCA_005887945.1,GCA_005887945.1,ncbi,Palsa-1315 sp005887945,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005887945,,
GCA_011338125.1,GCA_011338125.1,ncbi,Thermodesulfovibrio aggregans_B,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,aggregans_B,,
GCA_014055495.1,GCA_014055495.1,ncbi,Nitrospira_A sp014055495,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp014055495,,
GCA_005877535.1,GCA_005877535.1,ncbi,Palsa-1315 sp005877535,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005877535,,
GCA_002753305.1,GCA_002753305.1,ncbi,HCH-1 sp002753305,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,HCH-1,sp002753305,,
GCF_011405515.1,GCF_011405515.1,ncbi,Nitrospira_C sp011405515,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp011405515,,
GCA_005239595.1,GCA_005239595.1,ncbi,SBBT01 sp005239595,Bacteria,Nitrospirota,Nitrospiria,SBBL01,SBBT01,SBBT01,sp005239595,,
GCA_005239925.1,GCA_005239925.1,ncbi,SBBA01 sp005239925,Bacteria,Nitrospirota,Nitrospiria,SBBL01,SBBA01,SBBA01,sp005239925,,
GCA_005877855.1,GCA_005877855.1,ncbi,NS-12 sp005877855,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-12,sp005877855,,
GCA_002083365.1,GCA_002083365.1,ncbi,Nitrospira_F sp002083365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083365,,
GCA_002869845.2,GCA_002869845.2,ncbi,Nitrospira_F sp002869845,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002869845,,
GCA_005239475.1,GCA_005239475.1,ncbi,Palsa-1315 sp005239475,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005239475,,
GCA_013388455.1,GCA_013388455.1,ncbi,JACAFF01 sp013388455,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,JACAFF01,sp013388455,,
